city 1; city 2; d
Auerbach;Zeulenroda;39
Auerbach;Zwickau;30
Auerbach;Zwönitz;40
Augsburg;Bobingen;17
Augsburg;Friedberg;8
Augsburg;Fürstenfeldbruck;41
Augsburg;Gersthofen;7
Augsburg;Königsbrunn;14
Augsburg;Neusäß;7
Augsburg;Schrobenhausen;40
Aurich;Emden;26
Aurich;Friedeburg;29
Aurich;Jever;33
Aurich;Leer;31
Aurich;Mittegroßefehn;12
Aurich;Norden;27
Aurich;Rhaude;42
Aurich;Schortens;39
Aurich;Weener;42
Aurich;Wiesmoor;25
Aurich;Wittmund;24
Aurich;Zetel;41
Aßlar;Bad Camberg;48
Aßlar;Bad Nauheim;41
Aßlar;Bieber;12
Aßlar;Braunfels;16
Aßlar;Butzbach;25
Aßlar;Dautphe;40
Aßlar;Dillenburg;28
Aßlar;Gießen;19
Aßlar;Gladenbach;29
Aßlar;Grünberg;43
Aßlar;Hadamar;42
Aßlar;Haiger;33
Aßlar;Herborn;21
Aßlar;Hungen;43
Aßlar;Langgöns;23
Aßlar;Lich;33
Aßlar;Lollar;28
Aßlar;Marburg;49
Aßlar;Neu-Anspach;41
Aßlar;Reiskirchen;32
Aßlar;Usingen;36
Aßlar;Weilburg;28
Aßlar;Wetzlar;4
Babenhausen;Bad Vilbel;39
Babenhausen;Bruchköbel;28
Babenhausen;Büttelborn;41
Babenhausen;Darmstadt;28
Babenhausen;Dieburg;11
Babenhausen;Dietzenbach;16
Babenhausen;Dreieich;23
Babenhausen;Egelsbach;26
Babenhausen;Erbach;39
Babenhausen;Erlensee;23
Babenhausen;Eschborn;46
Babenhausen;Frankfurt;31
Babenhausen;Gelnhausen;42
Babenhausen;Griesheim;34
Babenhausen;Groß-Gerau;43
Babenhausen;Groß-Umstadt;12
Babenhausen;Groß-Zimmern;16
Babenhausen;Großostheim;13
Babenhausen;Hanau;22
Babenhausen;Heusenstamm;19
Babenhausen;Höchst im Odenwald;22
Babenhausen;Karben;40
Babenhausen;Kelsterbach;40
Babenhausen;Langenselbold;32
Babenhausen;Maintal;28
Babenhausen;Michelstadt;37
Babenhausen;Mörfelden-Walldorf;39
Babenhausen;Neu Isenburg;28
Babenhausen;Nidderau;40
Babenhausen;Ober-Ramstadt;24
Babenhausen;Obertshausen;18
Babenhausen;Pfungstadt;36
Babenhausen;Reinheim;22
Babenhausen;Rodenbach;28
Babenhausen;Rodgau;9
Babenhausen;Roßdorf;20
Babenhausen;Seeheim-Jugenheim;37
Babenhausen;Seligenstadt;11
Babenhausen;Weiterstadt;33
Backnang;Bietigheim-Bissingen;27
Backnang;Brackenheim;35
Backnang;Ditzingen;41
Backnang;Ebersbach an der Fils;37
Backnang;Eislingen;47
Backnang;Esslingen;37
Backnang;Fellbach;23
Backnang;Filderstadt;44
Backnang;Freiberg am Neckar;21
Backnang;Gerlingen;43
Backnang;Göppingen;42
Backnang;Heilbronn;32
Backnang;Kirchheim unter Teck;46
Backnang;Korntal-Münchingen;34
Backnang;Kornwestheim;28
Backnang;Leonberg;46
Backnang;Ludwigsburg;24
Backnang;Marbach am Neckar;16
Backnang;Neckarsulm;40
Backnang;Ostfildern;37
Backnang;Schorndorf;24
Backnang;Schwäbisch Gmünd;43
Backnang;Schwäbisch Hall;36
Backnang;Stuttgart;32
Backnang;Vaihingen an der Enz;42
Backnang;Waiblingen;19
Backnang;Wendlingen am Neckar;46
Backnang;Winnenden;10
Backnang;Öhringen;39
Bad Aibling;Bruckmühl;8
Bad Aibling;Haar;39
Bad Aibling;Holzkirchen;28
Bad Aibling;Kolbermoor;5
Bad Aibling;Ottobrunn;40
Bad Aibling;Rosenheim;10
Bad Aibling;Vaterstetten;37
Bad Bentheim;Emsbüren;17
Bad Bentheim;Emsdetten;34
Bad Bentheim;Gronau;18
Bad Bentheim;Lingen;37
Bad Bentheim;Neuenhaus;27
Bad Bentheim;Nordhorn;17
Bad Bentheim;Rheine;21
Bad Bentheim;Schüttorf;5
Bad Bentheim;Steinfurt;26
Bad Bentheim;Wietmarschen;28
Bad Berka;Bad Blankenburg;35
Bad Berka;Bad Sulza;37
Bad Berka;Blankenhain;6
Bad Berka;Buttstädt;31
Bad Berka;Erfurt;23
Bad Berka;Ilmenau;39
Bad Berka;Jena;33
Bad Berka;Kahla;28
Bad Berka;Kölleda;51
Bad Berka;Königsee;45
Bad Berka;Pößneck;40
Bad Berka;Rudolstadt;27
Bad Berka;Saalfeld;38
Bad Berka;Stadtilm;22
Bad Berka;Stadtroda;44
Bad Berka;Sömmerda;45
Bad Berka;Unterwellenborn;40
Bad Berka;Weimar;11
Bad Blankenburg;Blankenhain;29
Bad Blankenburg;Großbreitenbach;28
Bad Blankenburg;Ilmenau;30
Bad Blankenburg;Kahla;30
Bad Blankenburg;Königsee;14
Bad Blankenburg;Neuhaus am Rennweg;29
Bad Blankenburg;Pößneck;27
Bad Blankenburg;Rudolstadt;8
Bad Blankenburg;Saalfeld;9
Bad Blankenburg;Stadtilm;24
Bad Blankenburg;Unterwellenborn;14
Bad Blankenburg;Weimar;46
Bad Bramstedt;Bad Oldesloe;41
Bad Bramstedt;Bad Segeberg;32
Bad Bramstedt;Bargteheide;43
Bad Bramstedt;Barmstedt;22
Bad Bramstedt;Boostedt;15
Bad Bramstedt;Bordesholm;36
Bad Bramstedt;Ellerau;21
Bad Bramstedt;Elmshorn;27
Bad Bramstedt;Glückstadt;40
Bad Bramstedt;Halstenbek;34
Bad Bramstedt;Henstedt-Ulzburg;20
Bad Bramstedt;Hohenlockstedt;21
Bad Bramstedt;Hohenwestedt;27
Bad Bramstedt;Horst;25
Bad Bramstedt;Itzehoe;29
Bad Bramstedt;Kaltenkirchen;13
Bad Bramstedt;Kellinghusen;13
Bad Bramstedt;Neumünster;18
Bad Bramstedt;Norderstedt;30
Bad Bramstedt;Nortorf;34
Bad Bramstedt;Pinneberg;35
Bad Bramstedt;Quickborn;21
Bad Bramstedt;Rellingen;33
Bad Bramstedt;Tangstedt;34
Bad Bramstedt;Tornesch;30
Bad Bramstedt;Trappenkamp;31
Bad Bramstedt;Uetersen;34
Bad Bramstedt;Wahlstedt;28
Bad Camberg;Bad Homburg;35
Bad Camberg;Bad Schwalbach;34
Bad Camberg;Bad Soden am Taunus;29
Bad Camberg;Braunfels;34
Bad Camberg;Butzbach;42
Bad Camberg;Diez;23
Bad Camberg;Eppstein;22
Bad Camberg;Eschborn;33
Bad Camberg;Flörsheim;42
Bad Camberg;Friedrichsdorf;39
Bad Camberg;Hadamar;28
Bad Camberg;Hattersheim;42
Bad Camberg;Hochheim am Main;40
Bad Camberg;Hofheim;30
Bad Camberg;Idstein;11
Bad Camberg;Kelkheim (Taunus);27
Bad Camberg;Kelsterbach;47
Bad Camberg;Kriftel;32
Bad Camberg;Kronberg;25
Bad Camberg;Königstein im Taunus;22
Bad Camberg;Limburg;19
Bad Camberg;Montabaur;41
Bad Camberg;Neu-Anspach;22
Bad Camberg;Niedernhausen;19
Bad Camberg;Oberursel;31
Bad Camberg;Raunheim;42
Bad Camberg;Rosbach vor der Höhe;39
Bad Camberg;Steinbach am Taunus;32
Bad Camberg;Taunusstein;27
Bad Camberg;Usingen;24
Bad Camberg;Weilburg;29
Bad Camberg;Wetzlar;45
Bad Camberg;Wiesbaden;32
Bad Dürkheim;Bobenheim-Roxheim;26
Bad Dürkheim;Böhl-Iggelheim;18
Bad Dürkheim;Bürstadt;41
Bad Dürkheim;Eppelheim;41
Bad Dürkheim;Frankenthal;21
Bad Dürkheim;Germersheim;39
Bad Dürkheim;Grünstadt;15
Bad Dürkheim;Haßloch;18
Bad Dürkheim;Herxheim;42
Bad Dürkheim;Hockenheim;41
Bad Dürkheim;Kaiserslautern;34
Bad Dürkheim;Lampertheim;36
Bad Dürkheim;Landau;33
Bad Dürkheim;Limburgerhof;22
Bad Dürkheim;Ludwigshafen;20
Bad Dürkheim;Mannheim;23
Bad Dürkheim;Mutterstadt;18
Bad Dürkheim;Schifferstadt;21
Bad Dürkheim;Schwetzingen;37
Bad Dürkheim;Speyer;29
Bad Dürkheim;Viernheim;35
Bad Dürkheim;Waghäusel;50
Bad Dürkheim;Worms;34
Bad Dürrenberg;Braunsbedra;18
Bad Dürrenberg;Delitzsch;41
Bad Dürrenberg;Halle;29
Bad Dürrenberg;Halle-Neustadt;30
Bad Dürrenberg;Landsberg;43
Bad Dürrenberg;Leipzig;28
Bad Dürrenberg;Leuna;7
Bad Dürrenberg;Markkleeberg;29
Bad Dürrenberg;Markranstädt;13
Bad Dürrenberg;Merseburg;12
Bad Dürrenberg;Meuselwitz;42
Bad Dürrenberg;Naumburg;31
Bad Dürrenberg;Querfurt;49
Bad Dürrenberg;Schkeuditz;21
Bad Dürrenberg;Schkopau;16
Bad Dürrenberg;Taucha;46
Bad Dürrenberg;Teutschenthal;38
Bad Dürrenberg;Weißenfels;15
Bad Dürrenberg;Zeitz;34
Bad Essen;Bad Iburg;33
Bad Essen;Bad Oeynhausen;44
Bad Essen;Belm;18
Bad Essen;Bissendorf;17
Bad Essen;Bohmte;6
Bad Essen;Bramsche;29
Bad Essen;Bünde;27
Bad Essen;Damme;27
Bad Essen;Diepholz;37
Bad Essen;Georgsmarienhütte;31
Bad Essen;Hasbergen;36
Bad Essen;Herford;38
Bad Essen;Hilter;32
Bad Essen;Löhne;38
Bad Essen;Lübbecke;22
Bad Essen;Melle;17
Bad Essen;Osnabrück;23
Bad Essen;Steinfeld;36
Bad Essen;Wallenhorst;24
Bad Fallingbostel;Hambühren;43
Bad Fallingbostel;Kirchlinteln;34
Bad Fallingbostel;Schneverdingen;31
Bad Fallingbostel;Soltau;17
Bad Fallingbostel;Walsrode;8
Bad Frankenhausen;Buttstädt;41
Bad Frankenhausen;Greußen;31
Bad Frankenhausen;Kölleda;27
